alcaldia,localidad,sexo,rango_edad,poblacion
AZCAPOTZALCO,Azcapotzalco,Hombre,a) 0 a 4 años,10794
AZCAPOTZALCO,Azcapotzalco,Hombre,b) 5 a 9 años,11950
AZCAPOTZALCO,Azcapotzalco,Hombre,c) 10 a 14 años,13219
AZCAPOTZALCO,Azcapotzalco,Hombre,d) 15 a 19 años,14272
AZCAPOTZALCO,Azcapotzalco,Hombre,e) 20 a 24 años,15895
AZCAPOTZALCO,Azcapotzalco,Hombre,f) 25 a 29 años,16899
AZCAPOTZALCO,Azcapotzalco,Hombre,g) 30 a 34 años,17047
AZCAPOTZALCO,Azcapotzalco,Hombre,h) 35 a 39 años,15868
AZCAPOTZALCO,Azcapotzalco,Hombre,i) 40 a 44 años,14624
AZCAPOTZALCO,Azcapotzalco,Hombre,j) 45 a 49 años,14810
AZCAPOTZALCO,Azcapotzalco,Hombre,k) 50 a 54 años,14313
AZCAPOTZALCO,Azcapotzalco,Hombre,l) 55 a 59 años,11992
AZCAPOTZALCO,Azcapotzalco,Hombre,m) 60 a 64 años,10497
AZCAPOTZALCO,Azcapotzalco,Hombre,n) 65 a 69 años,7906
AZCAPOTZALCO,Azcapotzalco,Hombre,o) 70 a 74 años,5925
AZCAPOTZALCO,Azcapotzalco,Hombre,p) 75 a 79 años,3966
AZCAPOTZALCO,Azcapotzalco,Hombre,q) 80 a 84 años,2628
AZCAPOTZALCO,Azcapotzalco,Hombre,r) 85 años y más,2163
AZCAPOTZALCO,Azcapotzalco,Mujer,a) 0 a 4 años,10266
AZCAPOTZALCO,Azcapotzalco,Mujer,b) 5 a 9 años,11470
AZCAPOTZALCO,Azcapotzalco,Mujer,c) 10 a 14 años,12667
AZCAPOTZALCO,Azcapotzalco,Mujer,d) 15 a 19 años,13711
AZCAPOTZALCO,Azcapotzalco,Mujer,e) 20 a 24 años,15561
AZCAPOTZALCO,Azcapotzalco,Mujer,f) 25 a 29 años,17506
AZCAPOTZALCO,Azcapotzalco,Mujer,g) 30 a 34 años,17858
AZCAPOTZALCO,Azcapotzalco,Mujer,h) 35 a 39 años,17294
AZCAPOTZALCO,Azcapotzalco,Mujer,i) 40 a 44 años,16621
AZCAPOTZALCO,Azcapotzalco,Mujer,j) 45 a 49 años,17049
AZCAPOTZALCO,Azcapotzalco,Mujer,k) 50 a 54 años,16822
AZCAPOTZALCO,Azcapotzalco,Mujer,l) 55 a 59 años,14682
AZCAPOTZALCO,Azcapotzalco,Mujer,m) 60 a 64 años,13290
AZCAPOTZALCO,Azcapotzalco,Mujer,n) 65 a 69 años,10153
AZCAPOTZALCO,Azcapotzalco,Mujer,o) 70 a 74 años,8307
AZCAPOTZALCO,Azcapotzalco,Mujer,p) 75 a 79 años,5665
AZCAPOTZALCO,Azcapotzalco,Mujer,q) 80 a 84 años,4217
AZCAPOTZALCO,Azcapotzalco,Mujer,r) 85 años y más,3933
COYOACAN,Coyoacán,Hombre,a) 0 a 4 años,13518
COYOACAN,Coyoacán,Hombre,b) 5 a 9 años,15435
COYOACAN,Coyoacán,Hombre,c) 10 a 14 años,17531
COYOACAN,Coyoacán,Hombre,d) 15 a 19 años,20091
COYOACAN,Coyoacán,Hombre,e) 20 a 24 años,23667
COYOACAN,Coyoacán,Hombre,f) 25 a 29 años,23879
COYOACAN,Coyoacán,Hombre,g) 30 a 34 años,22251
COYOACAN,Coyoacán,Hombre,h) 35 a 39 años,21119
COYOACAN,Coyoacán,Hombre,i) 40 a 44 años,20884
COYOACAN,Coyoacán,Hombre,j) 45 a 49 años,21315
COYOACAN,Coyoacán,Hombre,k) 50 a 54 años,19628
COYOACAN,Coyoacán,Hombre,l) 55 a 59 años,16722
COYOACAN,Coyoacán,Hombre,m) 60 a 64 años,15447
COYOACAN,Coyoacán,Hombre,n) 65 a 69 años,13010
COYOACAN,Coyoacán,Hombre,o) 70 a 74 años,10308
COYOACAN,Coyoacán,Hombre,p) 75 a 79 años,6748
COYOACAN,Coyoacán,Hombre,q) 80 a 84 años,4174
COYOACAN,Coyoacán,Hombre,r) 85 años y más,3321
COYOACAN,Coyoacán,Mujer,a) 0 a 4 años,13109
COYOACAN,Coyoacán,Mujer,b) 5 a 9 años,15013
COYOACAN,Coyoacán,Mujer,c) 10 a 14 años,16721
COYOACAN,Coyoacán,Mujer,d) 15 a 19 años,19308
COYOACAN,Coyoacán,Mujer,e) 20 a 24 años,23369
COYOACAN,Coyoacán,Mujer,f) 25 a 29 años,23960
COYOACAN,Coyoacán,Mujer,g) 30 a 34 años,23393
COYOACAN,Coyoacán,Mujer,h) 35 a 39 años,23561
COYOACAN,Coyoacán,Mujer,i) 40 a 44 años,23931
COYOACAN,Coyoacán,Mujer,j) 45 a 49 años,24865
COYOACAN,Coyoacán,Mujer,k) 50 a 54 años,23601
COYOACAN,Coyoacán,Mujer,l) 55 a 59 años,20856
COYOACAN,Coyoacán,Mujer,m) 60 a 64 años,20697
COYOACAN,Coyoacán,Mujer,n) 65 a 69 años,17480
COYOACAN,Coyoacán,Mujer,o) 70 a 74 años,13762
COYOACAN,Coyoacán,Mujer,p) 75 a 79 años,9201
COYOACAN,Coyoacán,Mujer,q) 80 a 84 años,6219
COYOACAN,Coyoacán,Mujer,r) 85 años y más,6225
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,a) 0 a 4 años,6079
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,b) 5 a 9 años,6559
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,c) 10 a 14 años,6708
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,d) 15 a 19 años,7108
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,e) 20 a 24 años,7472
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,f) 25 a 29 años,7410
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,g) 30 a 34 años,7276
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,h) 35 a 39 años,6871
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,i) 40 a 44 años,6454
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,j) 45 a 49 años,6462
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,k) 50 a 54 años,5814
